









CONTRACT_NUMBER,AWARD_AMOUNT,CREATION_DATE,VENDOR_NAME,DESCRIPTION
B21OP04714A,52692175.63,04-04-2022,"INTER-CON SECURITY SYSTEMS, INC","RFP- for Security Guard (unarmed) services to protect CTA customers and personnel as required for a period of three years with two, funded one-year options"
B21OP04714B,44307824.37,04-04-2022,"MONTERREY SECURITY CONSULTANT, INC.","RFP- For Security Guard (unarmed) services to protect CTA customers and personnel as required for a period of three years with two, funded one-year options"
